#Log_File	LOG031
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.33
#Unique_ID	2411E505575BA507
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	SD7-517-198	Water	dphi	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	SD7-517-198	not cal.	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	30%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	51.700°	19.800°	20.00°C	20.00°C	1013 mbar	0%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(dphi)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
190	2017-07-07 15:21:04	26,430		22,27	22,27	1012,2	62,2	10626		0	26,430	60,7	4,7	22,52
191	2017-07-07 15:21:32	19,468	SignalTooLow_	22,32	22,32	1012,1	62,2	10654		2	19,468	41,1	4,5	22,52
192	2017-07-07 15:22:02	19,189	SignalTooLow_	22,27	22,27	1012,1	62,2	10684		2	19,189	45,8	4,4	22,52
193	2017-07-07 15:22:47	22,509		22,33	22,33	1012,1	62,3	10729		0	22,509	51,0	4,6	22,51
194	2017-07-07 15:23:16	24,582		22,32	22,32	1012,2	62,3	10758		0	24,582	72,5	4,8	22,52
195	2017-07-07 15:23:57	20,294		22,33	22,33	1012,1	62,3	10799		0	20,294	51,2	4,6	22,51
196	2017-07-07 15:24:48	19,675		22,32	22,32	1012,1	62,3	10850		0	19,675	57,8	4,6	22,51
197	2017-07-07 15:25:30	19,872		22,33	22,33	1012,1	62,3	10892		0	19,872	51,3	4,7	22,52
198	2017-07-07 15:26:06	26,344		22,36	22,36	1012,2	62,4	10928		0	26,344	64,0	4,5	22,52
199	2017-07-07 15:26:54	20,215		22,36	22,36	1012,1	62,4	10976		0	20,215	50,8	4,7	22,52
200	2017-07-07 15:27:26	26,424		22,36	22,36	1012,2	62,4	11008		0	26,424	52,7	4,7	22,52
201	2017-07-07 15:30:20	26,765		22,35	22,35	1012,1	62,3	11182		0	26,765	59,2	4,9	22,51
202	2017-07-07 15:30:57	19,502	SignalTooLow_	22,40	22,40	1012,1	62,5	11219		2	19,502	42,5	4,7	22,52
203	2017-07-07 15:31:35	19,161	SignalTooLow_	22,30	22,30	1012,1	62,5	11257		2	19,161	44,0	4,6	22,52
204	2017-07-07 15:32:11	22,808		22,33	22,33	1012,1	62,5	11293		0	22,808	58,3	4,6	22,51
205	2017-07-07 15:32:50	24,846		22,40	22,40	1012,2	62,5	11332		0	24,846	70,5	4,8	22,52
206	2017-07-07 15:33:39	20,244	SignalTooLow_	22,44	22,44	1012,1	62,5	11381		2	20,244	47,4	4,7	22,51
207	2017-07-07 15:34:19	19,693		22,43	22,43	1012,0	62,6	11421		0	19,693	58,6	4,8	22,51
208	2017-07-07 15:35:02	19,892		22,45	22,45	1012,1	62,6	11464		0	19,892	53,5	4,9	22,53
209	2017-07-07 15:35:50	26,754		22,38	22,38	1012,1	62,6	11512		0	26,754	69,1	4,8	22,53
210	2017-07-07 15:36:37	20,150		22,41	22,41	1012,0	62,6	11559		0	20,150	49,7	4,9	22,53
211	2017-07-07 15:37:21	26,692		22,42	22,42	1012,0	62,6	11603		0	26,692	52,7	4,8	22,53
212	2017-07-07 15:40:43	27,237		22,27	22,27	1011,9	62,5	11805		0	27,237	63,9	4,7	22,52
213	2017-07-07 15:41:14	19,582	SignalTooLow_	22,31	22,31	1011,9	62,6	11836		2	19,582	44,0	4,7	22,52
214	2017-07-07 15:42:01	19,194	SignalTooLow_	22,32	22,32	1011,9	62,6	11883		2	19,194	44,2	4,7	22,52
215	2017-07-07 15:42:42	23,015		22,31	22,31	1011,9	62,7	11924		0	23,015	57,3	4,6	22,51
216	2017-07-07 15:43:18	25,114		22,41	22,41	1011,9	62,7	11960		0	25,114	67,9	4,8	22,53
217	2017-07-07 15:43:58	20,314		22,37	22,37	1011,9	62,6	12000		0	20,314	49,7	4,7	22,53
218	2017-07-07 15:44:43	19,747		22,39	22,39	1011,9	62,7	12045		0	19,747	56,4	4,8	22,53
219	2017-07-07 15:45:18	19,891		22,49	22,49	1012,0	62,7	12080		0	19,891	54,3	4,9	22,54
220	2017-07-07 15:46:10	27,258		22,44	22,44	1012,0	62,7	12132		0	27,258	69,2	4,7	22,54
221	2017-07-07 15:46:53	20,254		22,44	22,44	1012,0	62,6	12175		0	20,254	49,9	4,8	22,54
222	2017-07-07 15:47:36	27,068		22,47	22,47	1012,0	62,6	12218		0	27,068	53,8	4,8	22,55
223	2017-07-07 15:50:49	27,632		22,28	22,28	1011,9	62,5	12411		0	27,632	61,5	4,6	22,54
224	2017-07-07 15:51:19	19,537	SignalTooLow_	22,39	22,39	1011,9	62,7	12441		2	19,537	40,6	4,9	22,53
225	2017-07-07 15:52:06	19,144	SignalTooLow_	22,36	22,36	1011,9	62,8	12488		2	19,144	42,4	4,7	22,54
226	2017-07-07 15:52:43	23,222		22,38	22,38	1011,8	62,7	12525		0	23,222	56,4	4,5	22,55
227	2017-07-07 15:53:22	25,376		22,40	22,40	1011,9	62,7	12564		0	25,376	71,2	4,7	22,54
228	2017-07-07 15:54:07	20,341		22,37	22,37	1011,9	62,6	12609		0	20,341	50,6	4,4	22,54
229	2017-07-07 15:54:56	19,709		22,42	22,42	1011,9	62,9	12658		0	19,709	56,3	4,8	22,54
230	2017-07-07 15:55:39	19,967		22,38	22,38	1011,9	62,8	12701		0	19,967	51,3	4,9	22,55
231	2017-07-07 15:56:27	27,708		22,45	22,45	1012,0	62,8	12749		0	27,708	65,3	4,7	22,56
232	2017-07-07 15:57:08	20,264	SignalTooLow_	22,48	22,48	1012,0	62,8	12790		2	20,264	48,3	4,9	22,56
233	2017-07-07 15:57:43	27,499		22,44	22,44	1011,9	63,0	12825		0	27,499	54,6	4,9	22,57
234	2017-07-07 16:02:01	28,199		22,29	22,29	1011,9	62,8	13083		0	28,199	61,5	4,5	22,55
235	2017-07-07 16:02:51	19,575	SignalTooLow_	22,37	22,37	1011,9	62,9	13133		2	19,575	40,5	4,6	22,55
236	2017-07-07 16:03:37	19,266	SignalTooLow_	22,40	22,40	1011,8	63,0	13179		2	19,266	43,8	4,6	22,55
237	2017-07-07 16:04:21	23,577		22,45	22,45	1011,9	63,0	13223		0	23,577	57,9	4,8	22,55
238	2017-07-07 16:05:11	25,740		22,37	22,37	1011,9	62,9	13273		0	25,740	74,4	4,6	22,55
239	2017-07-07 16:05:58	20,370		22,37	22,37	1011,9	63,0	13320		0	20,370	50,3	4,8	22,54
240	2017-07-07 16:06:43	19,803		22,28	22,28	1011,9	62,9	13365		0	19,803	55,8	4,7	22,55
241	2017-07-07 16:07:32	19,986		22,30	22,30	1011,8	62,9	13414		0	19,986	52,3	4,7	22,55
242	2017-07-07 16:08:07	28,382		22,38	22,38	1012,0	62,9	13449		0	28,382	72,0	4,8	22,54
243	2017-07-07 16:08:46	20,324		22,33	22,33	1011,9	62,9	13488		0	20,324	49,7	4,7	22,54
244	2017-07-07 16:09:26	27,889		22,31	22,31	1011,9	62,9	13528		0	27,889	53,8	4,8	22,54
245	2017-07-07 16:12:38	28,734		22,33	22,33	1012,0	62,7	13720		0	28,734	66,6	4,4	22,52
246	2017-07-07 16:13:10	19,586	SignalTooLow_	22,34	22,34	1011,9	62,7	13752		2	19,586	40,1	4,6	22,52
247	2017-07-07 16:13:49	19,248	SignalTooLow_	22,28	22,28	1012,0	62,8	13791		2	19,248	43,4	4,7	22,53
248	2017-07-07 16:14:24	23,865		22,28	22,28	1011,9	62,8	13826		0	23,865	55,1	4,7	22,52
249	2017-07-07 16:14:57	26,007		22,24	22,24	1012,0	62,8	13859		0	26,007	73,4	4,7	22,53
250	2017-07-07 16:15:43	20,433		22,34	22,34	1012,0	62,8	13905		0	20,433	49,9	4,7	22,53
251	2017-07-07 16:16:24	19,846		22,32	22,32	1012,0	62,9	13946		0	19,846	57,9	4,8	22,52
252	2017-07-07 16:17:11	19,988		22,31	22,31	1012,0	62,8	13993		0	19,988	52,7	4,9	22,53
253	2017-07-07 16:17:57	28,882		22,30	22,30	1012,0	62,7	14039		0	28,882	67,2	4,8	22,53
254	2017-07-07 16:18:39	20,373	SignalTooLow_	22,26	22,26	1012,0	62,7	14081		2	20,373	48,9	4,8	22,53
255	2017-07-07 16:19:36	28,262		22,22	22,22	1012,0	62,8	14138		0	28,262	58,0	4,7	22,52
256	2017-07-07 16:22:23	29,298		22,23	22,23	1012,0	62,6	14305		0	29,298	63,6	4,6	22,51
257	2017-07-07 16:23:03	19,670	SignalTooLow_	22,28	22,28	1012,0	62,7	14345		2	19,670	43,3	4,8	22,51
258	2017-07-07 16:23:49	19,247	SignalTooLow_	22,34	22,34	1012,0	62,7	14391		2	19,247	39,4	4,7	22,51
259	2017-07-07 16:24:42	24,201		22,30	22,30	1011,9	62,7	14444		0	24,201	55,0	4,7	22,51
260	2017-07-07 16:25:18	26,389		22,25	22,25	1011,9	62,7	14480		0	26,389	69,8	4,6	22,51
261	2017-07-07 16:26:12	20,432		22,28	22,28	1012,0	62,6	14534		0	20,432	49,6	4,9	22,52
262	2017-07-07 16:27:05	19,891		22,30	22,30	1012,0	62,7	14587		0	19,891	57,6	4,7	22,52
263	2017-07-07 16:27:50	19,992		22,28	22,28	1012,0	62,6	14632		0	19,992	50,8	5,1	22,52
264	2017-07-07 16:28:23	29,424		22,30	22,30	1012,0	62,7	14665		0	29,424	69,6	4,7	22,52
265	2017-07-07 16:29:05	20,368	SignalTooLow_	22,30	22,30	1012,1	62,6	14707		2	20,368	48,1	5,0	22,51
266	2017-07-07 16:29:40	28,687		22,22	22,22	1011,9	62,6	14742		0	28,687	56,3	4,8	22,51
267	2017-07-07 16:33:03	29,865		22,27	22,27	1012,0	62,6	14945		0	29,865	63,5	4,8	22,49
268	2017-07-07 16:33:30	19,643	SignalTooLow_	22,34	22,34	1012,0	62,7	14972		2	19,643	39,1	4,8	22,51
269	2017-07-07 16:33:55	19,259	SignalTooLow_	22,32	22,32	1012,0	62,7	14997		2	19,259	41,5	4,6	22,50
270	2017-07-07 16:34:31	24,515		22,31	22,31	1012,0	62,7	15033		0	24,515	53,7	5,1	22,50
271	2017-07-07 16:35:11	26,707		22,34	22,34	1012,0	62,9	15073		0	26,707	75,3	5,0	22,50
272	2017-07-07 16:35:42	20,544	SignalTooLow_	22,31	22,31	1012,0	62,9	15104		2	20,544	48,8	4,9	22,50
273	2017-07-07 16:36:28	19,946		22,33	22,33	1011,9	62,9	15150		0	19,946	56,9	4,9	22,51
274	2017-07-07 16:37:07	20,047		22,35	22,35	1011,9	62,9	15189		0	20,047	52,3	4,9	22,51
275	2017-07-07 16:37:48	30,016		22,39	22,39	1012,0	62,9	15230		0	30,016	68,6	4,9	22,50
276	2017-07-07 16:38:39	20,387	SignalTooLow_	22,33	22,33	1012,0	62,8	15281		2	20,387	48,1	5,0	22,51
277	2017-07-07 16:39:19	29,088		22,30	22,30	1012,0	62,9	15321		0	29,088	56,1	4,9	22,51
278	2017-07-07 16:43:13	30,400		22,28	22,28	1012,0	62,8	15555		0	30,400	66,1	4,8	22,49
279	2017-07-07 16:43:53	19,725	SignalTooLow_	22,24	22,24	1011,9	62,8	15595		2	19,725	39,5	4,8	22,49
280	2017-07-07 16:44:29	19,374	SignalTooLow_	22,28	22,28	1012,0	62,8	15631		2	19,374	41,4	4,8	22,49
281	2017-07-07 16:45:05	24,893		22,34	22,34	1012,0	62,9	15667		0	24,893	55,3	4,7	22,50
282	2017-07-07 16:45:42	27,130		22,37	22,37	1012,0	63,1	15704		0	27,130	75,8	4,8	22,49
283	2017-07-07 16:46:19	20,526	SignalTooLow_	22,38	22,38	1012,0	63,1	15741		2	20,526	48,6	4,9	22,51
284	2017-07-07 16:46:54	19,955		22,35	22,35	1012,1	63,1	15776		0	19,955	54,3	4,6	22,51
285	2017-07-07 16:47:33	20,069	SignalTooLow_	22,43	22,43	1012,1	63,1	15815		2	20,069	47,8	4,9	22,51
286	2017-07-07 16:48:13	30,762		22,30	22,30	1012,1	63,0	15855		0	30,762	74,3	4,7	22,51
287	2017-07-07 16:48:58	20,448	SignalTooLow_	22,37	22,37	1012,1	63,0	15900		2	20,448	46,2	4,8	22,51
288	2017-07-07 16:49:32	29,431		22,30	22,30	1012,1	62,9	15934		0	29,431	58,2	4,6	22,51
289	2017-07-07 16:54:08	31,063		22,32	22,32	1012,1	62,9	16210		0	31,063	68,8	4,8	22,50
290	2017-07-07 16:54:44	19,757	SignalTooLow_	22,26	22,26	1012,1	62,9	16246		2	19,757	39,0	4,7	22,50
291	2017-07-07 16:55:20	19,415	SignalTooLow_	22,22	22,22	1012,1	63,0	16282		2	19,415	43,0	4,7	22,50
292	2017-07-07 16:55:57	25,363		22,28	22,28	1012,0	63,0	16319		0	25,363	57,3	5,0	22,50
293	2017-07-07 16:56:36	27,498		22,26	22,26	1012,0	63,0	16358		0	27,498	71,5	4,8	22,49
294	2017-07-07 16:57:13	20,554	SignalTooLow_	22,29	22,29	1012,1	63,0	16395		2	20,554	46,9	4,8	22,50
295	2017-07-07 16:57:53	19,975		22,26	22,26	1012,1	63,0	16435		0	19,975	54,2	4,8	22,49
296	2017-07-07 16:58:38	20,125		22,34	22,34	1012,1	63,1	16480		0	20,125	50,9	4,9	22,48
297	2017-07-07 16:59:17	31,543		22,34	22,34	1012,0	63,0	16519		0	31,543	75,0	5,0	22,49
298	2017-07-07 16:59:55	20,475	SignalTooLow_	22,33	22,33	1012,1	62,9	16557		2	20,475	47,7	5,1	22,49
299	2017-07-07 17:00:27	29,896		22,33	22,33	1012,1	63,1	16589		0	29,896	57,9	4,8	22,50
300	2017-07-07 17:04:23	31,673		22,28	22,28	1012,0	63,0	16825		0	31,673	70,1	4,7	22,46
301	2017-07-07 17:05:00	19,862	SignalTooLow_	22,28	22,28	1012,1	63,1	16862		2	19,862	40,5	4,8	22,48
302	2017-07-07 17:05:41	19,487	SignalTooLow_	22,28	22,28	1012,1	63,1	16903		2	19,487	42,9	4,9	22,48
303	2017-07-07 17:06:18	25,829		22,30	22,30	1012,0	63,1	16940		0	25,829	59,9	4,8	22,48
304	2017-07-07 17:06:56	27,958		22,34	22,34	1012,1	63,1	16978		0	27,958	77,4	4,7	22,49
305	2017-07-07 17:07:33	20,666		22,30	22,30	1012,0	63,1	17015		0	20,666	49,4	5,0	22,48
306	2017-07-07 17:08:06	20,101		22,30	22,30	1012,0	63,1	17048		0	20,101	56,2	4,9	22,48
307	2017-07-07 17:08:38	20,159		22,31	22,31	1012,0	63,0	17080		0	20,159	51,9	5,0	22,48
308	2017-07-07 17:09:26	32,231		22,29	22,29	1012,0	63,0	17128		0	32,231	74,7	5,0	22,48
309	2017-07-07 17:09:53	20,521	SignalTooLow_	22,44	22,44	1012,0	63,0	17155		2	20,521	46,4	4,7	22,47
310	2017-07-07 17:10:23	30,396		22,47	22,47	1012,0	63,1	17185		0	30,396	57,6	4,8	22,47
311	2017-07-07 17:14:35	32,448		22,28	22,28	1012,0	62,9	17437		0	32,448	69,9	4,6	22,47
312	2017-07-07 17:15:09	19,938	SignalTooLow_	22,28	22,28	1011,9	62,9	17471		2	19,938	43,0	4,7	22,48
313	2017-07-07 17:15:48	19,538	SignalTooLow_	22,29	22,29	1011,9	62,9	17510		2	19,538	43,0	4,8	22,48
314	2017-07-07 17:16:22	26,302		22,27	22,27	1011,9	62,9	17544		0	26,302	57,9	4,8	22,46
315	2017-07-07 17:16:57	28,372		22,33	22,33	1012,0	62,9	17579		0	28,372	76,5	4,7	22,47
316	2017-07-07 17:17:44	20,679		22,34	22,34	1011,9	62,9	17626		0	20,679	49,2	4,6	22,47
317	2017-07-07 17:18:28	20,104		22,29	22,29	1011,9	62,8	17670		0	20,104	55,7	4,8	22,47
318	2017-07-07 17:19:00	20,178		22,29	22,29	1011,9	62,8	17702		0	20,178	49,4	4,7	22,46
319	2017-07-07 17:19:33	33,083		22,22	22,22	1011,9	62,8	17735		0	33,083	76,7	4,9	22,46
320	2017-07-07 17:20:29	20,567	SignalTooLow_	22,29	22,29	1011,9	62,8	17791		2	20,567	45,2	4,8	22,45
321	2017-07-07 17:21:09	30,796		22,27	22,27	1011,9	62,8	17831		0	30,796	60,0	4,9	22,46
322	2017-07-07 17:24:38	33,107		22,16	22,16	1011,9	62,6	18040		0	33,107	70,4	4,8	22,44
323	2017-07-07 17:25:20	19,932	SignalTooLow_	22,15	22,15	1011,9	62,6	18082		2	19,932	42,6	4,7	22,44
324	2017-07-07 17:26:08	19,601	SignalTooLow_	22,22	22,22	1011,9	62,5	18130		2	19,601	43,0	4,9	22,43
325	2017-07-07 17:26:49	26,948		22,25	22,25	1011,9	62,5	18171		0	26,948	62,0	4,8	22,44
326	2017-07-07 17:27:34	28,883		22,23	22,23	1011,9	62,4	18216		0	28,883	80,0	4,9	22,43
327	2017-07-07 17:28:09	20,749	SignalTooLow_	22,25	22,25	1011,8	62,4	18251		2	20,749	47,0	4,9	22,42
328	2017-07-07 17:28:51	20,239		22,23	22,23	1011,9	62,4	18293		0	20,239	54,4	4,7	22,43
329	2017-07-07 17:29:35	20,231		22,15	22,15	1011,9	62,3	18337		0	20,231	49,1	4,7	22,43
330	2017-07-07 17:30:20	34,122		22,18	22,18	1011,9	62,3	18382		0	34,122	83,7	4,8	22,42
331	2017-07-07 17:31:04	20,617	SignalTooLow_	22,24	22,24	1012,0	62,3	18426		2	20,617	45,0	4,7	22,42
332	2017-07-07 17:31:47	31,302		22,27	22,27	1012,1	62,3	18469		0	31,302	62,0	4,8	22,42
333	2017-07-07 17:34:30	33,863		22,28	22,28	1012,0	62,4	18632		0	33,863	70,6	5,0	22,41
334	2017-07-07 17:35:04	20,030	SignalTooLow_	22,32	22,32	1012,1	62,4	18666		2	20,030	40,0	4,8	22,42
335	2017-07-07 17:35:42	19,688	SignalTooLow_	22,27	22,27	1012,1	62,5	18704		2	19,688	42,6	4,9	22,41
336	2017-07-07 17:36:28	27,577		22,29	22,29	1012,1	62,5	18750		0	27,577	66,6	4,7	22,42
337	2017-07-07 17:37:07	29,284		22,31	22,31	1012,0	62,5	18789		0	29,284	78,9	4,8	22,42
338	2017-07-07 17:37:51	20,835	SignalTooLow_	22,29	22,29	1012,0	62,5	18833		2	20,835	48,7	4,8	22,42
339	2017-07-07 17:38:31	20,224		22,28	22,28	1011,9	62,5	18873		0	20,224	55,9	5,0	22,42
340	2017-07-07 17:39:20	20,287		22,27	22,27	1011,9	62,5	18922		0	20,287	51,2	4,8	22,42
341	2017-07-07 17:40:00	35,073		22,26	22,26	1011,9	62,5	18962		0	35,073	81,5	4,9	22,43
342	2017-07-07 17:40:37	20,689	SignalTooLow_	22,28	22,28	1011,8	62,6	18999		2	20,689	47,9	5,1	22,42
343	2017-07-07 17:41:10	31,757		22,31	22,31	1011,8	62,6	19032		0	31,757	59,1	4,8	22,42
344	2017-07-07 17:44:16	34,502		22,26	22,26	1011,8	62,8	19218		0	34,502	73,5	4,6	22,42
345	2017-07-07 17:44:50	19,980	SignalTooLow_	22,32	22,32	1011,9	62,8	19252		2	19,980	41,9	5,2	22,42
346	2017-07-07 17:45:26	19,721	SignalTooLow_	22,24	22,24	1011,8	62,8	19288		2	19,721	42,0	4,8	22,43
347	2017-07-07 17:46:23	28,175		22,27	22,27	1011,9	62,8	19345		0	28,175	67,3	4,7	22,42
348	2017-07-07 17:47:25	29,763		22,27	22,27	1011,8	62,8	19407		0	29,763	78,5	4,9	22,42
349	2017-07-07 17:48:01	20,823		22,35	22,35	1011,9	62,9	19443		0	20,823	49,0	4,8	22,43
350	2017-07-07 17:48:41	20,290		22,29	22,29	1011,9	62,8	19483		0	20,290	54,0	4,6	22,45
351	2017-07-07 17:49:28	20,262		22,34	22,34	1011,8	62,7	19530		0	20,262	50,7	4,7	22,44
352	2017-07-07 17:50:10	36,194		22,28	22,28	1011,8	62,7	19572		0	36,194	88,0	4,7	22,45
353	2017-07-07 17:50:49	20,607	SignalTooLow_	22,31	22,31	1011,8	62,7	19611		2	20,607	48,0	4,7	22,45
354	2017-07-07 17:51:37	32,129		22,26	22,26	1011,8	62,7	19659		0	32,129	62,9	4,7	22,46
355	2017-07-07 17:54:57	35,322		22,24	22,24	1011,9	62,7	19859		0	35,322	77,1	4,8	22,44
356	2017-07-07 17:55:48	20,063	SignalTooLow_	22,30	22,30	1011,9	62,8	19910		2	20,063	41,0	4,7	22,45
357	2017-07-07 17:57:04	19,677	SignalTooLow_	22,31	22,31	1011,9	62,8	19986		2	19,677	39,9	5,0	22,45
358	2017-07-07 17:57:44	28,920		22,34	22,34	1011,9	62,8	20026		0	28,920	66,2	4,8	22,45
359	2017-07-07 17:58:24	30,238		22,33	22,33	1011,9	62,8	20066		0	30,238	80,2	4,8	22,46
360	2017-07-07 17:59:11	20,773	SignalTooLow_	22,33	22,33	1011,9	62,8	20113		2	20,773	47,1	4,5	22,45
361	2017-07-07 17:59:50	20,238		22,38	22,38	1011,9	62,9	20152		0	20,238	57,6	4,9	22,46
362	2017-07-07 18:00:35	20,300		22,38	22,38	1011,9	62,8	20197		0	20,300	50,7	4,8	22,47
363	2017-07-07 18:01:30	37,463		22,33	22,33	1012,0	62,9	20252		0	37,463	86,4	4,8	22,47
364	2017-07-07 18:02:26	20,582	SignalTooLow_	22,39	22,39	1012,0	62,9	20308		2	20,582	48,0	4,8	22,48
365	2017-07-07 18:03:02	32,760		22,42	22,42	1012,0	62,9	20344		0	32,760	62,5	4,8	22,48
366	2017-07-07 18:17:05	37,243		22,20	22,20	1011,9	62,9	21187		0	37,243	81,9	4,9	22,43
367	2017-07-07 18:17:57	20,103	SignalTooLow_	22,23	22,23	1011,9	62,9	21239		2	20,103	37,9	5,1	22,43
368	2017-07-07 18:18:33	19,867	SignalTooLow_	22,19	22,19	1011,9	62,9	21275		2	19,867	44,0	4,8	22,43
369	2017-07-07 18:19:18	30,567		22,25	22,25	1011,9	62,9	21320		0	30,567	68,4	4,9	22,45
370	2017-07-07 18:20:17	31,439		22,18	22,18	1012,0	62,8	21379		0	31,439	82,5	4,7	22,43
371	2017-07-07 18:20:59	20,805	SignalTooLow_	22,23	22,23	1011,9	62,8	21421		2	20,805	45,4	4,9	22,43
372	2017-07-07 18:21:39	20,389		22,21	22,21	1011,9	62,9	21461		0	20,389	54,3	4,9	22,44
373	2017-07-07 18:22:31	20,303		22,17	22,17	1011,9	62,9	21513		0	20,303	49,7	4,8	22,43
374	2017-07-07 18:23:22	40,706		22,22	22,22	1011,9	62,9	21564		0	40,706	98,1	4,7	22,44
375	2017-07-07 18:23:59	20,670	SignalTooLow_	22,25	22,25	1011,9	63,0	21601		2	20,670	47,7	4,9	22,44
376	2017-07-07 18:24:35	33,805		22,24	22,24	1011,9	62,9	21637		0	33,805	65,2	4,7	22,45
377	2017-07-07 18:41:01	39,529		22,16	22,16	1012,1	63,0	22623		0	39,529	86,3	4,9	22,37
378	2017-07-07 18:41:56	20,362	SignalTooLow_	22,20	22,20	1012,2	63,0	22678		2	20,362	39,6	4,9	22,38
379	2017-07-07 18:42:53	20,071	SignalTooLow_	22,12	22,12	1012,3	63,0	22735		2	20,071	42,2	4,6	22,37
380	2017-07-07 18:43:47	33,242		22,22	22,22	1012,2	63,1	22789		0	33,242	76,6	4,7	22,36
381	2017-07-07 18:44:34	33,192		22,20	22,20	1011,9	63,1	22836		0	33,192	91,1	4,7	22,38
382	2017-07-07 18:45:22	21,070	SignalTooLow_	22,20	22,20	1012,1	63,1	22884		2	21,070	46,4	4,9	22,37
383	2017-07-07 18:46:15	20,556		22,17	22,17	1012,1	63,1	22937		0	20,556	55,5	5,0	22,37
384	2017-07-07 18:46:56	20,403		22,24	22,24	1012,1	63,1	22978		0	20,403	49,0	4,8	22,37
385	2017-07-07 18:48:03	45,353		22,12	22,12	1012,0	63,1	23045		0	45,353	105,9	4,7	22,37
386	2017-07-07 18:48:53	20,853	SignalTooLow_	22,11	22,11	1012,1	63,0	23095		2	20,853	47,6	5,0	22,37
387	2017-07-07 18:49:36	35,176		22,11	22,11	1012,0	63,1	23138		0	35,176	66,3	4,8	22,38
